                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4415,                 15.854,                 5.8918,                 4.3389,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4631,                 5.1338,                 5.7477,                 4.1594,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 3.4859,                 17.019,                 5.9083,                 4.3394,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.463,                 5.1365,                 5.7477,                 4.1599,             1.6083e-05,             1.6083e-05,             1.6083e-05
                      2,                 3.5212,                 14.084,                 5.9069,                 4.3351,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4631,                 5.1388,                 5.7479,                 4.1604,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      3,                  3.537,                 14.532,                 5.8876,                 4.2995,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4622,                 5.1407,                 5.7481,                  4.161,             2.5934e-05,             2.5934e-05,             2.5934e-05
                      4,                 3.5245,                 13.554,                 5.8994,                 4.2992,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4618,                 5.1418,                 5.7487,                 4.1616,             2.8032e-05,             2.8032e-05,             2.8032e-05
                      5,                 3.3559,                 13.312,                 5.8492,                  4.334,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4617,                 5.1419,                 5.7498,                 4.1623,             2.8245e-05,             2.8245e-05,             2.8245e-05
                      6,                 3.4773,                 11.002,                 5.9344,                 4.3217,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4611,                 5.1414,                  5.751,                 4.1631,             2.6573e-05,             2.6573e-05,             2.6573e-05
                      7,                 3.5196,                 11.563,                 5.8854,                 4.2971,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4605,                 5.1398,                 5.7528,                 4.1641,             2.3016e-05,             2.3016e-05,             2.3016e-05
                      8,                 3.4324,                 10.983,                 5.8131,                 4.2831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4602,                 5.1377,                 5.7549,                 4.1653,             1.7574e-05,             1.7574e-05,             1.7574e-05
                      9,                 3.3936,                 11.608,                 5.8614,                 4.2807,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   3.46,                 5.1363,                 5.7562,                  4.166,             1.0247e-05,             1.0247e-05,             1.0247e-05
