                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2319,                 4.0355,                 4.0105,                0.00781,                0.41883,                0.00677,                0.00192,                 3.5124,                 4.1089,                 4.7155,             0.00054913,             0.00054913,             0.00054913
                      1,                 2.8009,                 3.6637,                 3.3866,                0.50214,                0.31818,                0.00213,                0.00059,                 3.5746,                    inf,                 17.388,              0.0010939,              0.0010939,              0.0010939
                      2,                 2.6503,                 3.5264,                 3.0841,                0.00097,                 0.2711,                0.00085,                0.00018,                 3.5678,                 79.876,                  5.115,              0.0016276,              0.0016276,              0.0016276
                      3,                 2.4459,                 3.2478,                 2.8685,                0.01119,                0.33604,                0.07355,                 0.0257,                 2.4603,                 7.0832,                  3.004,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.3483,                   2.97,                 2.7494,                0.05023,                0.06818,                0.01579,                0.00365,                 3.5457,                 6.4196,                 5.5984,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.2576,                 2.8718,                 2.6698,                0.04487,                0.15422,                 0.0239,                0.00543,                 2.5153,                 4.5866,                 3.7595,               0.001601,               0.001601,               0.001601
                      6,                 2.1057,                 2.6812,                 2.5456,                0.13488,                0.37338,                 0.1748,                 0.0573,                 2.1874,                 3.0638,                 2.7603,              0.0015845,              0.0015845,              0.0015845
                      7,                   2.04,                 2.5481,                 2.4815,                0.35686,                0.66234,                0.46615,                 0.1392,                 1.8636,                  3.134,                 2.4487,               0.001568,               0.001568,               0.001568
                      8,                 1.9361,                 2.3781,                 2.4093,                0.53185,                0.55849,                0.58642,                0.24991,                 1.7707,                 2.1654,                  2.352,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8417,                 2.2878,                 2.3121,                0.62223,                0.56142,                0.55844,                0.29386,                 1.6172,                  2.254,                 2.2113,               0.001535,               0.001535,               0.001535
                     10,                 1.7755,                 2.2093,                 2.2477,                0.44567,                0.69318,                0.64507,                0.28875,                 1.6347,                 2.1547,                 2.1796,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6832,                 2.0329,                 2.1612,                0.66075,                0.59646,                0.64841,                0.32121,                 1.6752,                 1.9636,                 2.1974,               0.001502,               0.001502,               0.001502
                     12,                 1.6373,                 2.0252,                 2.1272,                0.71957,                0.60103,                0.75712,                0.37742,                 1.6505,                 1.7821,                 2.1512,              0.0014855,              0.0014855,              0.0014855
                     13,                  1.613,                 1.9494,                 2.0883,                0.64521,                0.62175,                0.68499,                0.36678,                  1.626,                 1.7723,                  2.142,               0.001469,               0.001469,               0.001469
                     14,                 1.5728,                 1.8959,                 2.0621,                0.54586,                0.64123,                  0.645,                0.30604,                 1.7801,                 2.3641,                 2.2626,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.5225,                 1.8219,                 1.9933,                0.73172,                0.61133,                0.67594,                 0.3288,                 1.6521,                 2.4882,                 2.1488,               0.001436,               0.001436,               0.001436
                     16,                 1.4664,                 1.7692,                 1.9515,                0.82586,                0.83115,                0.86796,                 0.4735,                 1.4542,                 1.3738,                  1.942,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4381,                 1.6843,                  1.918,                0.78567,                0.70278,                0.80348,                0.49263,                  1.401,                 1.2918,                 1.9432,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4068,                 1.6417,                 1.8886,                 0.7749,                0.76534,                0.79384,                 0.4792,                 1.3031,                 1.4857,                  1.837,              0.0013864,              0.0013864,              0.0013864
